// Log of inequalities that have been verified by interval arithmetic.
QED, ineq(4491491732), secs(144), svn(1969,57), Wed Sep  8 21:07:19 ICT 2010
QED, ineq(1550635295), secs(1), svn(1969,57), Wed Sep  8 21:07:26 ICT 2010
QED, ineq(9229542852), secs(1), svn(1969,57), Wed Sep  8 21:07:32 ICT 2010
QED, ineq(1085358243), secs(23), svn(1969,57), Wed Sep  8 21:07:58 ICT 2010
QED, ineq(3566713650), secs(3), svn(1969,57), Wed Sep  8 21:08:05 ICT 2010
QED, ineq(7718591733), secs(7), svn(1969,57), Wed Sep  8 21:08:16 ICT 2010
QED, ineq(7863247282), secs(493), svn(1969,57), Wed Sep  8 21:16:32 ICT 2010
QED, ineq(1642527039), secs(45), svn(1969,57), Wed Sep  8 21:17:21 ICT 2010
QED, ineq(4840774900), secs(178), svn(1969,57), Wed Sep  8 21:20:23 ICT 2010
QED, ineq(6224332984), secs(103), svn(1969,57), Wed Sep  8 21:22:10 ICT 2010
QED, ineq(7761782916), secs(484), svn(1969,57), Wed Sep  8 21:30:18 ICT 2010
QED, ineq(9291937879), secs(4), svn(1969,57), Wed Sep  8 21:30:26 ICT 2010
QED, ineq(9225295803), secs(692), svn(1969,57), Wed Sep  8 21:42:02 ICT 2010
QED, ineq(7931207804), secs(578), svn(1969,57), Wed Sep  8 21:51:43 ICT 2010
QED, ineq(2563100177), secs(14), svn(1969,57), Wed Sep  8 21:52:01 ICT 2010
QED, ineq(5760733457), secs(11), svn(1969,57), Wed Sep  8 21:52:17 ICT 2010
QED, ineq(8082208587), secs(29), svn(1969,57), Wed Sep  8 21:52:49 ICT 2010
QED, ineq(9756015945), secs(12), svn(1969,57), Thu Sep  9 05:41:43 ICT 2010
QED, ineq(9251360200), secs(21), svn(1969,57), Thu Sep  9 05:42:07 ICT 2010
QED, ineq(5000076558), secs(10), svn(1969,57), Thu Sep  9 05:42:20 ICT 2010
