// 2012.  Started with the new version of nonlinear ineq prover.
QED, ineq(3862621143 side), secs(31),  cells(56032), svn(2866:2868,130), Tue Jun  5 19:09:37 ICT 2012
QED, ineq(4240815464 a reduced), secs(8),  cells(16830), svn(2866:2868,130), Tue Jun  5 19:09:50 ICT 2012
QED, ineq(6944699408 a reduced), secs(8),  cells(14546), svn(2866:2868,130), Tue Jun  5 19:10:03 ICT 2012
QED, ineq(7043724150 a reduced), secs(1),  cells(1298), svn(2866:2868,130), Tue Jun  5 19:10:08 ICT 2012
QED, ineq(8673686234 c), secs(184),  cells(331540), svn(2866:2868,130), Tue Jun  5 19:13:17 ICT 2012
QED, ineq(8673686234 b), secs(259),  cells(1067606), svn(2866:2868,130), Tue Jun  5 19:17:43 ICT 2012
QED, ineq(8673686234 a), secs(0),  cells(128), svn(2866:2868,130), Tue Jun  5 19:17:48 ICT 2012
QED, ineq(2570626711), secs(0),  cells(1322), svn(2866:2868,130), Tue Jun  5 19:17:53 ICT 2012
QED, ineq(4652969746 2), secs(8),  cells(15786), svn(2866:2868,130), Tue Jun  5 19:18:06 ICT 2012
QED, ineq(4652969746 1), secs(10),  cells(20924), svn(2866:2868,130), Tue Jun  5 19:18:21 ICT 2012
QED, ineq(JNTEFVP 1), secs(1),  cells(70), svn(2866:2868,130), Tue Jun  5 19:18:24 ICT 2012
QED, ineq(SDCCMGA b), secs(0),  cells(4), svn(2866:2868,130), Tue Jun  5 19:18:28 ICT 2012
QED, ineq(SDCCMGA a), secs(0),  cells(4), svn(2866:2868,130), Tue Jun  5 19:18:35 ICT 2012
QED, ineq(OMKYNLT 0 3), secs(0),  cells(134), svn(2866:2868,130), Tue Jun  5 19:18:40 ICT 2012
QED, ineq(OMKYNLT 1 2), secs(0),  cells(262), svn(2866:2868,130), Tue Jun  5 19:18:45 ICT 2012
QED, ineq(OMKYNLT 2 1), secs(1),  cells(172), svn(2866:2868,130), Tue Jun  5 19:18:50 ICT 2012
QED, ineq(OMKYNLT 3336871894), secs(0),  cells(128), svn(2866:2868,130), Tue Jun  5 19:18:55 ICT 2012
QED, ineq(4717061266), secs(0),  cells(16), svn(2866:2868,130), Tue Jun  5 19:18:59 ICT 2012
QED, ineq(6096597438 b), secs(0),  cells(36), svn(2866:2868,130), Tue Jun  5 19:19:03 ICT 2012
QED, ineq(6096597438 a), secs(0),  cells(1), svn(2866:2868,130), Tue Jun  5 19:19:07 ICT 2012
QED, ineq(8055810915), secs(0),  cells(8), svn(2866:2868,130), Tue Jun  5 19:19:10 ICT 2012
QED, ineq(1965189142 a), secs(0),  cells(162), svn(2866:2868,130), Tue Jun  5 19:19:13 ICT 2012
QED, ineq(1965189142 34), secs(0),  cells(1), svn(2866:2868,130), Tue Jun  5 19:19:16 ICT 2012
QED, ineq(OXLZLEZ 6346351218 4 45), secs(15),  cells(9992), svn(2866:2868,130), Tue Jun  5 21:26:38 ICT 2012
QED, ineq(OXLZLEZ 6346351218 3 45), secs(123),  cells(79436), svn(2866:2868,130), Tue Jun  5 21:28:49 ICT 2012
QED, ineq(OXLZLEZ 6346351218 2 45), secs(16),  cells(9992), svn(2866:2868,130), Tue Jun  5 21:29:12 ICT 2012
QED, ineq(OXLZLEZ 6346351218 1 45), secs(22),  cells(13798), svn(2866:2868M,130), Tue Jun  5 22:03:54 ICT 2012
QED, ineq(OXLZLEZ 6346351218 0 45), secs(0),  cells(1), svn(2866:2868M,130), Tue Jun  5 22:03:58 ICT 2012
QED, ineq(OXLZLEZ 6346351218 4 44), secs(2),  cells(1278), svn(2866:2868M,130), Tue Jun  5 22:04:08 ICT 2012
QED, ineq(OXLZLEZ 6346351218 3 44), secs(18),  cells(11560), svn(2866:2868M,130), Tue Jun  5 22:04:34 ICT 2012
QED, ineq(OXLZLEZ 6346351218 2 44), secs(1),  cells(1278), svn(2866:2868M,130), Tue Jun  5 22:04:44 ICT 2012
QED, ineq(OXLZLEZ 6346351218 1 44), secs(7),  cells(4294), svn(2866:2868M,130), Tue Jun  5 22:05:00 ICT 2012
